time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,time/episodes,train/n_updates,train/learning_rate,train/loss
19040,100.0,400,192.0,0.9746666666666667,0,4,,,
19042,100.0,800,192.0,0.9493333333333333,0,8,,,
9007,100.0,1200,192.0,0.9239999999999999,0,12,49,0.0005,1.4677762985229492
5405,99.875,1598,190.75,0.8987933333333333,0,16,149,0.0005,1.8966023921966553
4361,99.15,1983,194.105,0.8744099999999999,0,20,245,0.0005,1.7274225950241089
3858,97.58333333333333,2342,198.55416666666667,0.8516733333333334,0,24,335,0.0005,1.4241243600845337
3543,97.92857142857143,2742,201.22500000000005,0.82634,0,28,435,0.0005,2.2432074546813965
3301,97.71875,3127,203.90625,0.8019566666666665,0,32,531,0.0005,1.5970494747161865
3073,97.97222222222223,3527,204.8277777777778,0.7766233333333332,1,36,631,0.0005,1.6073458194732666
2929,97.55,3902,204.86999999999998,0.7528733333333333,1,40,725,0.0005,1.1731319427490234
2857,97.77272727272727,4302,205.3068181818182,0.72754,1,44,825,0.0005,1.2338886260986328
2792,97.95833333333333,4702,205.67083333333335,0.7022066666666666,1,48,925,0.0005,1.82526433467865
2715,97.6923076923077,5080,205.24423076923082,0.6782666666666666,1,52,1019,0.0005,1.3566399812698364
2648,96.94642857142857,5429,205.83214285714286,0.6561633333333333,2,56,1107,0.0005,1.4942165613174438
2612,96.78333333333333,5807,205.78833333333336,0.6322233333333332,2,60,1201,0.0005,1.7419509887695312
2567,96.984375,6207,205.55781249999998,0.6068899999999999,2,64,1301,0.0005,0.8750386238098145
2535,97.16176470588235,6607,205.9485294117647,0.5815566666666665,2,68,1401,0.0005,1.573521614074707
2505,97.31944444444444,7007,206.71666666666667,0.5562233333333335,2,72,1501,0.0005,1.549423336982727
2478,97.46052631578948,7407,206.87236842105264,0.5308900000000002,2,76,1601,0.0005,1.3453314304351807
2450,97.5875,7807,207.13875,0.5055566666666669,3,80,1701,0.0005,0.9145339131355286
2432,97.70238095238095,8207,207.62023809523802,0.48022333333333345,3,84,1801,0.0005,1.5474773645401
2415,97.80681818181819,8607,207.7136363636363,0.4548900000000001,3,88,1901,0.0005,1.0457899570465088
2401,97.90217391304348,9007,207.46956521739128,0.4295566666666668,3,92,2001,0.0005,1.4056880474090576
2384,97.98958333333333,9407,207.56145833333332,0.4042233333333334,3,96,2101,0.0005,0.9003750085830688
2367,98.07,9807,206.93899999999996,0.37889000000000006,4,100,2201,0.0005,1.4552383422851562
2353,98.07,10207,207.44400000000002,0.35355666666666674,4,104,2301,0.0005,0.8395793437957764
2336,98.07,10607,207.444,0.3282233333333333,4,108,2401,0.0005,0.9385319352149963
2321,98.07,11007,207.949,0.30289,4,112,2501,0.0005,1.100008249282837
2301,98.09,11407,208.25,0.27755666666666656,4,116,2601,0.0005,1.226488471031189
2287,98.24,11807,207.93200000000002,0.25222333333333324,5,120,2701,0.0005,1.277079463005066
2272,98.65,12207,206.37599999999998,0.22688999999999993,5,124,2801,0.0005,0.859091579914093
2258,98.65,12607,205.063,0.2015566666666666,5,128,2901,0.0005,0.7284709811210632
2239,98.8,13007,202.92700000000002,0.1762233333333333,5,132,3001,0.0005,1.0814461708068848
2226,98.8,13407,201.109,0.15088999999999986,6,136,3101,0.0005,0.5797762870788574
2214,99.05,13807,199.56900000000002,0.12555666666666654,6,140,3201,0.0005,0.8138798475265503
2194,99.05,14207,198.35699999999997,0.10022333333333322,6,144,3301,0.0005,0.7402748465538025
2184,99.05,14607,197.347,0.0748899999999999,6,148,3401,0.0005,0.5127387642860413
2175,99.27,15007,196.41600000000003,0.05,6,152,3501,0.0005,0.6829199194908142
2163,99.78,15407,195.25400000000002,0.05,7,156,3601,0.0005,0.36900457739830017
2152,100.0,15807,194.52499999999998,0.05,7,160,3701,0.0005,0.7981359362602234
2144,100.0,16207,193.717,0.05,7,164,3801,0.0005,0.7731274962425232
2136,100.0,16607,192.30300000000003,0.05,7,168,3901,0.0005,0.6733794212341309
